codigo_ine,municipio,provincia,lat,lon
46248,Turís,Valencia,39.3898826,-0.7104878
46249,Utiel,Valencia,39.5680797,-1.2051604
46250,València,Valencia,39.4697065,-0.3763353
46251,Vallada,Valencia,38.8959364,-0.6890986
46252,Vallanca,Valencia,40.0630346,-1.3389357
46253,Vallés,Valencia,38.9858253,-0.5562883
46254,Venta del Moro,Valencia,39.4838261,-1.3565015
46255,Vilallonga/Villalonga,Valencia,38.8853294,-0.2066001
46256,Vilamarxant,Valencia,39.5680723,-0.6227531
46258,Villar del Arzobispo,Valencia,39.7337011,-0.8273481
46259,Villargordo del Cabriel,Valencia,39.5363664,-1.4406634
46260,Vinalesa,Valencia,39.537576,-0.3706682
46145,Xàtiva,Valencia,38.988085,-0.5200428
46143,Xeraco,Valencia,39.0331946,-0.2152033
46146,Xeresa,Valencia,39.0101346,-0.2168106
46110,Xirivella,Valencia,39.4655723,-0.4307834
46261,Yátova,Valencia,39.3848761,-0.8085418
46262,"Yesa, La",Valencia,39.8914016,-0.9615624
46263,Zarra,Valencia,39.091467,-1.0751647
