nombre_centro;municipio;lat;lon
BALLONTI;Portugalete;43.3183955;-3.0274984
JUAN ANTONIO ZUNZUNEGUI;Portugalete;NA;NA
SAN JUAN IKASTETXEA;San Juan;43.3205043;-3.1222242
CENTRO DE FORMACION SOMORROSTRO;San Juan;43.3205043;-3.1222242
CANTARRANA ESKOLA;San Juan;43.3205513;-3.113585
MUSKIZKO IKASTOLA;San Juan;43.3207643;-3.1260886
MUSKIZ;San Juan;43.3205513;-3.113585
ALAZNE;San Vicente de Barakaldo;NA;NA
LA INMACULADA M.S.J.O;San Vicente de Barakaldo;43.2934112;-2.9829822
NUESTRA SEÑORA DE BEGOÑA;San Vicente de Barakaldo;NA;NA
NUESTRA SEÑORA DEL ROSARIO;San Vicente de Barakaldo;43.2859743;-2.9737177
SALESIANOS BARAKALDO;San Vicente de Barakaldo;43.2980574;-2.9825071
SAN JUAN BOSCO;San Vicente de Barakaldo;43.2818436;-2.981258
SAN VICENTE DE PAUL;San Vicente de Barakaldo;NA;NA
BEURKO CHECK;San Vicente de Barakaldo;43.3025753;-2.9936916
CENTRO DE INFORMÁTICA Y GESTIÓN MEATZE, S.L;San Vicente de Barakaldo;NA;NA
IKASAUTO;San Vicente de Barakaldo;43.3025753;-2.9936916
ALKARTU IKASTOLA;San Vicente de Barakaldo;43.2958295;-2.9924567
ARRONTEGI ESKOLA;San Vicente de Barakaldo;43.2948605;-2.9842355
ARTEAGABEITIA;San Vicente de Barakaldo;43.2925475;-2.9901705
BAGATZA;San Vicente de Barakaldo;43.3010869;-2.9925185
BURCEÑA;San Vicente de Barakaldo;NA;NA
GURUTZETA;San Vicente de Barakaldo;NA;NA
IBAIBE;San Vicente de Barakaldo;NA;NA
JUAN RAMON JIMENEZ;San Vicente de Barakaldo;43.2843254;-2.9819969
LARREA;San Vicente de Barakaldo;43.2989311;-2.9820639
MUKUSULUBA;San Vicente de Barakaldo;NA;NA
MUNOA;San Vicente de Barakaldo;43.2857508;-2.9785204
NUESTRA SEÑORA DEL PILAR;San Vicente de Barakaldo;43.2949468;-2.9909421
ZUAZO;San Vicente de Barakaldo;NA;NA
ANTONIO TRUEBA;San Vicente de Barakaldo;43.2985212;-2.9863237
BEURKO;San Vicente de Barakaldo;NA;NA
CRUCES;San Vicente de Barakaldo;NA;NA
MINAS;San Vicente de Barakaldo;43.2976592;-2.9930555
EL CASAL;Sanfuentes;43.3225811;-3.0726303
DE BARRIADA;Santa Cruz;43.2657743;-3.2325883
BIHOTZ GAZTEA IKASTOLA;Santurtzi;43.3250385;-3.0293121
CALASANZ SANTURTZI;Santurtzi;NA;NA
SAN FRANCISCO JAVIER;Santurtzi;NA;NA
SAN JOSE;Santurtzi;43.3281076;-3.0298441
