parque;lat;lon;area_m2
parque_345;43,32327295;-2,97879853291500;8280,42307316954
parque_104;43,29373660;-2,98861821250000;8269,70840014238
parque_138;43,33269575;-2,98748153841674;8147,34811480343
parque_23;43,34627570;-3,01188211208593;8118,40035788331
parque_95;43,32973460;-2,99444593212407;8112,93452499993
parque_221;43,23321715;-2,89253766901993;8110,16992749460
parque_352;43,25103245;-2,94317091209315;8069,67997470172
parque_4;43,26579335;-2,93048363393491;8055,89922136909
parque_311;43,35604525;-2,99786709872489;8054,06485656483
parque_400;43,30990440;-2,94824525989158;8011,29150058050
parque_354;43,25183335;-2,91150311650670;8005,64436057769
parque_100;43,23968110;-2,87981402684847;7995,78992674779
parque_26;43,33400850;-3,00848692258302;7952,75972264260
parque_71;43,31800750;-3,07303705944363;7951,40064546280
parque_149;43,31699960;-3,07427249094566;7808,19048785116
parque_143;43,32619335;-3,01841232572142;7805,20433023840
parque_406;43,31444160;-2,98503303872627;7759,65237718262
parque_442;43,31426235;-3,02632931063291;7759,26765734842
parque_342;43,26996985;-2,92227230112646;7701,27294894308
parque_215;43,32504635;-3,02274750962740;7648,99671772681
parque_53;43,31995580;-3,02460868536669;7632,08436735626
parque_276;43,31185070;-3,01044571920672;7597,31833632197
parque_271;43,25724905;-2,92144055420582;7517,43073008209
parque_332;43,27245190;-2,95934542658618;7487,71664840356
parque_42;43,35054975;-3,00515821721751;7476,23686411930
parque_219;43,29225620;-2,87750024296025;7409,13352243043
parque_77;43,35358970;-3,07752671986875;7244,61391687929
parque_413;43,32113750;-2,84040402489930;7238,68167843693
parque_190;43,32237590;-3,07310470553542;7209,29557586182
parque_73;43,25378770;-2,92521678556780;7176,53634782089
parque_124;43,29187125;-2,98823989672890;7066,43230719592
parque_133;43,28546930;-2,98101064617884;7030,48293443210
parque_229;43,29534385;-2,88623830372895;6989,71594779403
parque_115;43,29864420;-2,98597591372271;6943,88856173039
parque_79;43,31506355;-3,05473671767928;6922,70880729984
parque_288;43,25624965;-2,91401370890456;6843,23161856271
parque_280;43,26015700;-2,90617028596095;6799,73613821191
parque_239;43,26942340;-2,92253777550579;6797,10860754969
parque_121;43,29331100;-2,99908084814097;6789,14610575489
parque_39;43,24902710;-2,92688501717173;6769,97000967525
parque_381;43,25904910;-2,89112133610334;6735,82566338475
parque_1;43,25861990;-2,90662026299145;6663,74944571964
parque_395;43,23290215;-2,84187947553410;6591,12419437524
parque_410;43,27447805;-2,96134848714713;6568,47595968522
parque_306;43,24821020;-2,94522423053465;6522,53607474465
parque_392;43,22751635;-2,84410786532643;6492,05723332847
parque_369;43,29224625;-2,95282222210553;6435,01000882173
parque_81;43,25559460;-2,94483924327555;6380,94435493366
parque_322;43,32039000;-3,06476933255482;6372,94413441047
parque_417;43,30158180;-3,03557817992674;6365,40952444170
parque_217;43,35997475;-2,99828090535665;6328,38492085226
parque_147;43,29753315;-2,99867591500000;6316,40281688049
parque_408;43,24103730;-2,87357204591945;6285,44418689125
parque_435;43,25862855;-2,91116363756371;6283,02718227170
parque_362;43,21625715;-2,90322378743385;6242,69373139308
parque_267;43,29982855;-2,92493491970911;6241,36180613237
parque_446;43,31540550;-3,02807037167121;6236,55514739081
parque_137;43,29632140;-3,03764185611413;6235,94163117930
parque_364;43,21591440;-2,90797190301016;6207,62847258989
parque_235;43,26822790;-2,96036917386642;6201,69273849437
parque_208;43,25048545;-2,90319370317388;6160,49198058248
parque_30;43,31688480;-3,02488984611247;6101,32396797277
parque_192;43,31684635;-3,08503269942153;6090,92368658446
parque_431;43,23311280;-2,85141575399305;6089,70228489628
parque_347;43,30327425;-2,99105057982924;6081,37762208814
