parque;lat;lon;area_m2
parque_238;39,42776750;-0,479903566819068;9948,35645466158
parque_392;39,42240175;-0,475489845398327;9925,91167006828
parque_253;39,54459740;-0,456624594752144;9916,66660199524
parque_47;39,48663360;-0,370937011260208;9824,31972528417
parque_80;39,46412090;-0,324066545535527;9807,10052650781
parque_29;39,45755940;-0,393073084828887;9717,64008835451
parque_337;39,42313495;-0,481451445003154;9711,07661643074
parque_188;39,45295770;-0,401719842950466;9660,62070745090
parque_229;39,42787345;-0,481702242520073;9631,35545745166
parque_395;39,43030365;-0,482903482329788;9623,93454901711
parque_417;39,54111735;-0,368212673595333;9502,36704173707
parque_344;39,40746985;-0,492274866821710;9471,71919212046
parque_183;39,46059885;-0,348577477380661;9464,15205176317
parque_18;39,47206425;-0,370497308721487;9432,80844160623
parque_405;39,42734975;-0,488919941155351;9400,19006834143
parque_459;39,42081590;-0,437926192899750;9396,26786679402
parque_304;39,55916120;-0,464056259749111;9394,43441273419
parque_43;39,45364120;-0,451884576925136;9308,49957095788
parque_474;39,48098965;-0,397328978236583;9304,31428859298
parque_27;39,45720320;-0,365354332722597;9271,26531210291
parque_148;39,45462720;-0,464588111275322;9216,08789118005
parque_317;39,53547340;-0,414761191657110;9206,38109229229
parque_309;39,51062870;-0,430582699165886;9161,64954136615
parque_218;39,46459890;-0,431057621641870;9132,06113757071
parque_453;39,44573955;-0,444291613624182;9068,37968925989
parque_487;39,51488935;-0,406131407150727;9043,69778930469
parque_55;39,47939420;-0,395563659426326;8988,26442502718
parque_318;39,41659735;-0,397766831885963;8871,72691833950
parque_182;39,46037350;-0,347370728088699;8863,59919259416
parque_379;39,42107295;-0,486834242052805;8857,24745685677
parque_342;39,40748910;-0,494721801729158;8845,72930675995
parque_358;39,40966445;-0,489496063270456;8811,29758017705
parque_455;39,41976790;-0,440604794263879;8787,86610786733
parque_515;39,50129385;-0,325098888528339;8767,27045428283
parque_348;39,41092025;-0,477421777813045;8745,86003068858
parque_145;39,50582175;-0,362508506853723;8735,73579209950
parque_74;39,45769400;-0,348657151652772;8731,73037766595
parque_406;39,42518585;-0,491746482067883;8672,71566262655
parque_66;39,47725250;-0,359015915870664;8649,19101876416
parque_269;39,51475125;-0,360435020993782;8647,72441112972
parque_311;39,55704735;-0,458656805200637;8647,67951363581
parque_328;39,44620760;-0,374988750165494;8643,58231716673
parque_373;39,42016440;-0,486011067982577;8603,16997859708
parque_462;39,47167545;-0,347129099206765;8573,42352053579
parque_114;39,48995045;-0,361616200000000;8571,00725490041
parque_315;39,52615385;-0,435313395506407;8517,92845286964
parque_104;39,48998935;-0,404974228870942;8515,80767161027
parque_102;39,49244550;-0,402832850885441;8507,88959162679
parque_509;39,48546310;-0,450365261776516;8493,90445998020
parque_391;39,42063030;-0,478892102111929;8426,03724973883
parque_92;39,46401270;-0,407091792357904;8423,66514745857
parque_334;39,43712865;-0,440073499307712;8401,42815533507
parque_147;39,46062305;-0,466869356927948;8394,82884624373
parque_242;39,42625020;-0,479953332510527;8393,96805721276
parque_184;39,46375235;-0,348442230257797;8387,88626412512
parque_137;39,48644245;-0,338451897121370;8386,65396963137
parque_75;39,45963965;-0,333507268566841;8367,64829839610
parque_484;39,49992535;-0,384488885110464;8367,24631342647
parque_44;39,45490555;-0,450575528814714;8356,22516956601
